회원번호,아이디,비밀번호,회원이름,주민등록번호(앞),주민등록번호(뒤),회원주소,전화번호(앞),전화번호(중),전화번호(뒤)
120001,fei1728,osuoll64,조승아,820430,2871278,서울 용산구,10,6889,1000
120002,voxsuj79,otyuww71,정태희,810831,2104105,서울 서대문구,10,2521,1002
120003,kat7336,infsac54,심채원,800331,2084754,서울 용산구,10,3974,1005
120004,gef0816,uj264766,문유나,851031,2037948,서울 구로구,10,2132,1007
120005,neb17983,uj264766,진나윤,851031,2036634,서울 용산구,10,6087,1009
120006,puwyox4167,ol608321,류나윤,950430,2117312,서울 성북구,10,1444,1012
110001,bap4749,edum1918,이성현,990731,1023493,서울 강남구,10,8409,1012
110002,paq7179,eg794302,유재원,860930,1322072,서울 동작구,10,5517,1017
120007,xiu1132,imeudu38,최서하,840331,2124952,서울 성동구,10,8602,1017
110003,voj3916,ip279687,신하준,961031,1831707,서울 서대문구,10,9722,1018
110004,begyej9445,na206447,곽정현,922033,1815433,서울 중구,10,2199,1019
120008,yiu8064,uwrvih16,백하은,951031,2827918,서울 동대문구,10,8373,1022
120009,caz4120,ob141882,남서은,840131,2369523,서울 구로구,10,9755,1023
110005,yig3083,ad868652,서한결,970531,1542100,서울 구로구,10,5511,1037
120010,nei5626,ob141882,지나연,840131,2369970,서울 영등포구,10,8419,1040
110006,sup9850,ahufut79,곽승준,900131,1435602,서울 은평구,10,5110,1041
110007,ruq55214,ihzilo13,안시현,930131,1918903,서울 성북구,10,4854,1046
110008,nao1308,eb226903,황태양,930331,1985947,서울 은평구,10,6648,1049
110009,wiy46984,uzzamy31,하태현,961130,1982420,서울 양천구,10,6897,1054
110010,woo2102,uw580780,송준성,880831,1316979,서울 노원구,10,1124,1055
110011,cog5042,ov509329,백한결,820930,1598390,서울 성북구,10,5579,1058
110012,guhvoi34,ocuigu73,송건우,970531,1960857,서울 송파구,10,3907,1063
110013,mal98344,oy903075,라민석,890131,1663068,서울 중랑구,10,4822,1063
110014,ruj88844,ir030338,전민석,850531,1208609,서울 송파구,10,7628,1063
110015,yig4545,ow408803,전은성,970531,1930800,서울 서초구,10,5605,1068
110016,xitfoa22,oztoxr17,전주원,910131,1277810,부산 동래구,10,7121,1069
110017,boomiu5394,wi275327,문율,991510,1961077,부산 금정구,10,5520,1070
110018,mix9598,uqvz9564,백재민,930531,1845671,부산 서구,10,6467,1070
120011,gid2036,uqevao49,홍다연,890131,2683952,부산 사하구,10,6676,1081
121410,gegrur1522,er060324,최윤아,941031,2967881,부산 강서구,10,7700,1081
120012,miw5284,exxehz28,신세아,940731,2324042,부산 부산진구,10,5036,1083
110019,duv08570,uvvidf25,윤정우,871031,1052394,부산 사하구,10,5960,1085
110020,mox5759,ahiyak48,정유찬,880531,1741453,부산 연제구,10,2846,1093
110021,xaz7241,ijmjag39,하준,970531,1333642,부산 동래구,10,3632,1094
110022,yaa6481,id925726,백준혁,840831,1785484,부산 금정구,10,5933,1097
120013,yas1229,ujdkef80,노예서,831130,2058928,부산 부산진구,10,8540,1100
110023,del4902,ugcf8338,신민호,890228,1161605,부산 부산진구,10,8607,1100
120014,mo8562,iq786498,홍서진,811130,2142686,부산 금정구,10,8545,1103
120015,lax3465,ay026139,최다윤,921130,2525749,부산 연제구,10,5395,1105
110024,ken3455,ijhzeu28,최지완,940831,1686359,부산 남구,10,7395,1113
110025,wef0284,opsd0788,라민호,910531,1626927,부산 남구,10,7337,1117
110026,vunxix2638,bo170758,라윤성,916009,1402827,부산 동래구,10,3994,1121
120016,mah5042,it948397,고나연,910331,2485314,부산 금정구,10,8620,1126
110027,yiy7442,irhc2129,홍하민,830531,1564407,부산 동구,10,2652,1127
120017,ren6584,av819568,배태희,821231,2000718,부산 중구,10,6192,1128
110028,wox8983,oj401040,손수호,990731,1882896,부산 영도구,10,2474,1142
120018,huc06328,iv351939,전예은,970831,2278395,부산 사하구,10,3318,1144
110029,kix2977,im201639,구태윤,980331,1785663,부산 중구,10,4478,1144
120019,raa7727,abqtef20,전은서,980630,2412922,부산 남구,10,5752,1144
110030,vopfaw67,ujeumq74,임서준,981130,1658710,부산 부산진구,10,9334,1145
120020,beo5855,ewwdui53,지아영,870531,2958612,대구 동구,10,6419,1147
120021,fux31959,eh947785,허지민,901231,2530424,대구 북구,10,8540,1155
120022,waf9976,igqlaa85,전하은,831231,2901387,대구 남구,10,3836,1157
110031,gop86637,iv285962,신현준,900131,1029027,대구 서구,10,4330,1167
110032,rut18511,oj741187,서우빈,841231,1637290,대구 동구,10,9207,1170
110033,mim4527,avufeo91,채규민,870630,1063297,대구 동구,10,3756,1181
110034,hezfeg5811,ya154653,최정민,933728,1066571,대구 수성구,10,4940,1182
120023,tay5586,egfdep47,안채은,880430,2133594,대구 북구,10,3681,1183
110035,noo59770,osguyo62,배민우,990531,1857656,대구 남구,10,1493,1184
110036,pab7850,av590488,황우빈,940630,1362613,대구 달서구,10,1421,1186
120024,meo4419,ockigg23,조소민,870531,2804084,대구 동구,10,6062,1187
110037,fex1296,uwysoc41,홍태현,881231,1132107,대구 북구,10,1215,1195
110038,wub7820,udls3593,채하준,960430,1119866,대구 달서구,10,6798,1196
110039,cov3838,aw459937,홍현수,920229,1878818,대구 중구,10,5681,1203
120025,tet5386,ij114472,최서우,901231,2290270,대구 중구,10,6432,1203
120026,yiv4529,eciodi12,노지아,990531,2069575,대구 달서구,10,5516,1206
110040,nix2639,iq178100,구지우,801231,1755205,대구 달서구,10,9179,1209
110041,cit58293,ug520046,홍율,920930,1835345,대구 북구,10,5490,1211
120027,radnei0728,un370533,구주아,981231,2663282,대구 북구,10,1546,1218
120028,ruu50313,un370533,채소윤,981231,2662336,대구 수성구,10,2462,1224
110042,hik6541,igtr1466,전재민,941031,1863937,대구 북구,10,9206,1224
120029,nuv39401,en774828,권지율,910531,2449718,대구 중구,10,4634,1229
120030,coj45157,op196799,곽나은,970531,2888940,대구 수성구,10,6723,1230
120031,varviy3175,ol984560,채현서,991130,2312125,대구 중구,10,4947,1234
